시도명,시군구명,위치,지번주소,위도,경도,데이터기준일자
강원도,횡성군,"웃거리,초당교",강원도 횡성군 공근면 학담리 37-1번지,,,2022-07-25
강원도,횡성군,"대산유원지,대산2교부근",강원도 횡성군 서원면 옥계리 921-41번지,,,2022-07-25
강원도,횡성군,"대산계곡,대산1교",강원도 횡성군 서원면 옥계리 921-4번지,,,2022-07-25
강원도,횡성군,"취석정,고향산천",강원도 횡성군 서원면 압곡리 33번지,,,2022-07-25
강원도,횡성군,"가천교,음달가리내","강원도 횡성군 강림면 강림리 2459-1, 283-4번지",,,2022-07-25
강원도,횡성군,"몽현사입구,달음발",강원도 횡성군 강림면 월현리 747번지,,,2022-07-25
강원도,횡성군,애버등,강원도 횡성군 강림면 월현리 1179-4번지,,,2022-07-25
강원도,횡성군,"개전너보,그린팜건너편,덕벼루",강원도 횡성군 강림면 강림리 296번지,,,2022-07-25
강원도,횡성군,"노고소,부곡계곡",강원도 횡성군 강림면 강림리 2569-3번지,,,2022-07-25
강원도,횡성군,구비소,강원도 횡성군 공근면 청곡리 325-25번지,,,2022-07-25
강원도,횡성군,쿵쿵소,강원도 횡성군 강림면 강림리 산750-2번지,,,2022-07-25
강원도,횡성군,"대산유원지,대산2교부근",강원도 횡성군 서원면 옥계리 921-41번지,,,2022-07-25
강원도,횡성군,출렁다리,강원도 횡성군 횡성읍 묵계리 337번지,,,2022-07-25
강원도,횡성군,"정자각,전천",강원도 횡성군 횡성읍 생운리 59-1번지,,,2022-07-25
강원도,횡성군,관말공원,강원도 횡성군 안흥면 안흥리 273-3번지,,,2022-07-25
강원도,횡성군,삼형제바위,강원도 횡성군 안흥면 안흥리 961-37번지,,,2022-07-25
강원도,횡성군,청뚜루,강원도 횡성군 청일면 고시리 485-8번지,,,2022-07-25
강원도,횡성군,"은혜교회,솔골교",강원도 횡성군 청일면 갑천리 580-3번지,,,2022-07-25
강원도,횡성군,"아래학담,동서산업부근",강원도 횡성군 공근면 학담리 722-91번지,,,2022-07-25
강원도,횡성군,"월구정,잠수교",강원도 횡성군 공근면 매곡리 435번지,,,2022-07-25
강원도,횡성군,선계,강원도 횡성군 강림면 강림리 582-5번지,,,2022-07-25
강원도,횡성군,"월현2리마을회관앞주천강변,등자치",강원도 횡성군 강림면 월현리 1030번지,,,2022-07-25
강원도,정선군,덕산기,정선군 정선읍 여탄리 산 87-1,,,2022-07-26
강원도,정선군,강이흐르는마을 펜션 앞,정선군 정선읍 광하1리 388-1,,,2022-07-26
강원도,정선군,안말,정선군 정선읍 용탄리 388-14,,,2022-07-26
강원도,정선군,노미,정선군 정선읍 용탄리 619-6,,,2022-07-26
강원도,정선군,아리아리펜션,정선군 정선읍 신월리 287,,,2022-07-26
강원도,정선군,자연학교,정선군 정선읍 덕송리 159-8,,,2022-07-26
강원도,정선군,범바위,정선군 정선읍 애산리 659-4,,,2022-07-26
